Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Perennial Flower,Leucanthemum x superbum-hybride,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Sunny"",""Moderately shaded""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Balanced NPK fertilizer""]",4,36,12,0.5,leucanthemum x superbum-hybride
Perennial,Tanacetum sp.,20,5,15,0.3,4,300,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,36,12,0.5,tanacetum sp.
Perennial Herb,Tanacetum balsamita,18,2,15,0.4,3,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Central Asia"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,24,0.25,tanacetum balsamita
Flowering plant,Silybum marianum,18,3,15,0.25,2,6000,60,"[""Well-drained sandy loam"",""Loamy soil""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Starts in spring"",""Summer"",""Autumn""]",50,35,20,48,"[""Organic compost"",""Manure""]",4,60,12,0.5,silybum marianum
Perennial grass,Hierochloe odorata,10-20,5-10,10-15,0.2-0.3,4-6,18000-22000,40-70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Start of summer"",""Summer"",""Early fall""]",10-20,30-35,50-100,48-72,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4-6,24-36,12-18,0.5-1,hierochloe odorata
Fruit Tree,Prunus armeniaca,20,5,15,0.3,3,300,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Central Asia"",""North America""]","[""Late winter"",""Early spring""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,240,144,2,prunus armeniaca
Perennial,Sedum dasyphyllum,20,5,18,0.4,3,6000,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Southwest United States"",""Central Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,72,"[""10-10-10"",""20-20-20""]",4,6,12,0.2,sedum dasyphyllum
Perennial,Sedum reflexum,20,5,15,0.3,2,3600,50,"[""Well-drained sandy soil"",""Loamy soil""]","[""Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",40,35,20,24,"[""Slow-release granular fertilizer"",""Compost""]",6,6,8,0.5,sedum reflexum
Perennial,Sedum Sarmentosum,20,5,18,0.3,3,6000,50,"[""Well-drained soil"",""Sandy soil""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""All-purpose fertilizer"",""Slow-release granular fertilizer""]",8,6,12,0.2,sedum sarmentosum
Perennial,Sedum sexangulare,20,5,18,0.3,3,6000,60,"[""Well-drained"",""Sandy"",""Loamy""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,10,12,0.2,sedum sexangulare
Perennial,Mirabilis Expansa,18,5,20,0.3,3,36000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""South America"",""Central America"",""Caribbean""]","[""Summer"",""Rainy season""]",20,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,72,36,1,mirabilis expansa
Perennial,Morus sp.,23,5,18,0.3,3,24000,60,"[""Loamy"",""Sandy"",""Well-drained""]","[""Subtropical regions"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,40,100,48,"[""Organic compost"",""NPK fertilizer""]",12,120,36,0.2,morus sp.
Perennial,Crambe abyssinica,20,5,15,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,1,crambe abyssinica
Perennial,Armoracia rusticana,10,3,15,0.4,4,20000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Organic compost"",""Fish emulsion""]",4,36,12,0.5,armoracia rusticana
Ornamental plant,Ornithogalum longibracteatum,20-25,5-10,18-22,0.2-0.4,4-6,6-8,40-60,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""Southwest Asia""]","[""Spring"",""Summer""]",30-40,35-40,20-30,48-72,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4-6,12-18,12-15,1-2,ornithogalum longibracteatum
Deciduous tree,Sorbus aria,10,3,12,0.3,2,30000,60,"[""Loam"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,480,400,2,sorbus aria
Herb,Peucedanum ostruthium,18,3,15,0.4,2,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,36,12,0.25,peucedanum ostruthium
Vegetable,Melothria spec.,20-30,5-10,15-25,0.25-0.35,3-5,24000-28000,50-70,"[""Loam"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,2-3,"[""NPK fertilizer"",""Organic compost""]",3-4,12,12,1,melothria spec.
Perennial,Solanum viride,25,5,20,0.4,4,600,60,"[""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,60,12,1,solanum viride
Perennial Herb,Cicerbita alpina,15,5,12,0.4,2,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Alpine regions"",""Mountainous areas""]","[""Late spring"",""Summer""]",40,25,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.5,cicerbita alpina
Herbaceous perennial,Cicerbita Plumieri,20,5,18,0.3,3,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mountainous areas""]","[""Spring"",""Summer""]",30,35,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.5,cicerbita plumieri
Perennial,Ornithogalum umbellatum,20,4,15,0.3,3,30000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,1,ornithogalum umbellatum
Flowering Perennial,Ornithogalum pyrenaicum ssp. pyrenaicum,10 - 25,2 - 5,12 - 20,0.2 - 0.4,3 - 5,6 - 8,40 - 60,"[""Well-drained"",""Loamy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4 - 6,12,12,1,ornithogalum pyrenaicum ssp. pyrenaicum
Vegetable,Miltomato Loco,25,5,20,0.3,3,3600,70,"[""loamy"",""sandy""]","[""Sunny regions with well-drained soil""]","[""Summer"",""Spring""]",30,40,10,48,"[""NPK fertilizer"",""compost""]",4,36,24,1,miltomato loco
Herb,Mentha sp.,20.5,5.8,18.2,0.32,3.6,24000,65,"[""Loam"",""Clay"",""Sandy loam""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Summer""]",30,40,30,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,mentha sp.
Herb,Mentha suaveolens,20,5,15,0.3,3,30000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,2,mentha suaveolens
Herb,Mentha Spicata,20,5,18,0.3,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,mentha spicata
Herb,Mentha arvensis var. piperascens,25,5,20,0.3,4,3000,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,mentha arvensis var. piperascens
Perennial Herb,Mentha x gracilis,20,5,18,0.4,4,300,60,"[""Loamy"",""Sandy"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",50,35,50,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,mentha x gracilis
Herb,Mentha longifolia var. crispa,20,5,18,0.3,3,7200,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",40,35,100,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,12,0.25,mentha longifolia var. crispa
Mentha Aquatica F. Citrata,Mentha Aquatica F. Citrata,25,5,20,0.4,3,20000,70,"[""Loamy"",""Clayey"",""Silty""]","[""Temperate regions"",""Wetlands"",""Bog gardens""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,30,12,1,mentha aquatica f. citrata
Perennial Herb,Mentha pulegium,20,5,18,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Europe"",""North Africa"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,30,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.25,mentha pulegium
Herb,Mentha Longifolia,25,5,20,0.4,3,600,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,10,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,mentha longifolia
Mint,Mentha aquatica,20,5,18,0.35,3,18000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4,24,12,0.25,mentha aquatica
Perennial Herb,Aloysia Polystacha,22,5,18,0.3,4,3000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""South America"",""Central America"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,0.5,aloysia polystacha
Perennial Herb,Hedeoma Viminea,25,5,22,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Central America"",""South America""]","[""Late Spring"",""Summer"",""Early Fall""]",20,35,50,48,"[""NPK 10-10-10"",""Compost"",""Organic Liquid Fertilizer""]",4,12,12,0.25,hedeoma viminea
Fruit Tree,Mespilus germanica,12,5,15,0.3,3,18000,70,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""NPK fertilizer""]",4,240,144,12,mespilus germanica
Herb,Cryptotaenia japonica,18,5,15,0.3,3,18000,70,"[""Loam"",""Silt"",""Clay""]","[""Temperate regions"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,cryptotaenia japonica
Vegetable,Brassica rapa ssp. nipposinica,15 - 25,2 - 5,10 - 20,0.3 - 0.6,3 - 5,6 - 8,60 - 80,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Asia"",""North America"",""Europe""]","[""Spring"",""Fall""]",40 - 60,30 - 35,50 - 100,24 - 48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 - 6,12 - 18,12 - 24,0.5 - 1,brassica rapa ssp. nipposinica
Perennial,Macleaya cordata,15,5,20,0.4,3,3600,70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK"",""Compost"",""Manure""]",4,120,24,0.2,macleaya cordata
Herbaceous,Mava,25,5,20,0.4,3.5,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,mava
Perennial shrub,Nashia inaguensis,25,5,20,0.3,3,3600,70,"[""Sandy loam"",""Clay loam"",""Well-drained soil""]","[""Coastal regions"",""Tropical climates""]","[""Year-round"",""Starts in summer""]",40,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",12,48,36,0.5,nashia inaguensis
Herbaceous perennial,Murdannia loriformis,25,5,28,0.4,4,600,70,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",40,38,20,48,"[""NPK fertilizer""]",4,12,12,1,murdannia loriformis
Herbaceous perennial,Sium ammomum,25,5,20,0.3,2,60000,60,"[""Loam"",""Clay""]","[""Wetlands"",""Ponds"",""Marshes""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,36,12,0.5,sium ammomum
Herb,Ligusticum lucidum,20,5,18,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mountainous areas""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,50,48,"[""Organic compost"",""Fish emulsion""]",4,36,24,0.5,ligusticum lucidum
Perennial Herb,Ligusticum scoticum,10.5,4.2,8.7,0.28,3.8,24000,75,"[""Loamy"",""Sandy""]","[""Coastal regions"",""Northern Europe""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Organic compost"",""Seaweed fertilizer""]",8,24,12,0.5,ligusticum scoticum
Perennial,Solanum Opacum,25,10,20,0.3,5,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,50,48,"[""NPK fertilizers"",""Organic compost""]",4,48,24,1.5,solanum opacum
Perennial,Oenothera odorata,18,5,20,0.3,3,18000,60,"[""Loam"",""Sandy loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",50,35,20,48,"[""Organic compost"",""Liquid fertilizer""]",4,36,24,0.5,oenothera odorata
Perennial,Oenothera grandiflora,20,5,15,0.3,3,3600,60,"[""Sandy loam"",""Clay loam""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,36,24,0.25,oenothera grandiflora
Perennial,Oenothera glazioviana,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,1,oenothera glazioviana
Perennial,Solanum villosum,20,5,18,0.3,3,3600,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK fertilizers"",""Organic compost""]",4,36,24,1,solanum villosum
Herbaceous Plant,Solanum Americanum,25,5,20,0.4,3,6000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round cultivation""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,48,24,1,solanum americanum
Herbaceous plant,Solanum nigrum,20,5,22,0.4,4,3600,65,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,50,48,"[""Organic compost"",""General-purpose fertilizer""]",4,36,12,0.5,solanum nigrum
Flowering plant,Gilia capitata,20,3,18,0.4,2,5000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""California"",""Arizona"",""Nevada""]","[""Spring"",""Summer""]",40,35,20,48,"[""10-10-10"",""14-14-14"",""20-20-20""]",4,36,12,0.5,gilia capitata
Fungi,Pholiota nameko,15,5,12,0.4,3,18000,80,"[""Loam"",""Clay"",""Sandy""]","[""Temperate forests"",""Deciduous forests"",""Coniferous forests""]","[""Late summer"",""Autumn""]",30,35,20,24,"[""Compost"",""Mushroom compost"",""Manure""]",8,6,12,0.5,pholiota nameko
Perennial,Narcissus poeticus,7.5 °C,2.5 mm,10.5 °C,0.25 m³/m³,3.5 mm/day,2400 seconds,60%,"[""Well-drained"",""Loamy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40 km/h,30 °C,20 mm,48 hours,"[""10-10-10"",""5-10-5""]",6 weeks,18 in,6 in,2 in,narcissus poeticus
Perennial,Narcissus pseudonarcissus,12,3,10,0.3,4,24000,60,"[""Well-draining soil"",""Loamy soil""]","[""Europe"",""North America""]","[""Spring""]",30,30,20,48,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",6,20,6,4,narcissus pseudonarcissus
Fruit Tree,Pyrus pyrifolia,20,5,18,0.25,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Asia"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK"",""Organic compost""]",4,300,200,2,pyrus pyrifolia
Perennial,Dianthus Alpinus,15,5,12,0.4,3,6000,60,"[""Loam"",""Clay""]","[""Mountainous regions"",""Alpine meadows""]","[""Spring"",""Summer""]",30,28,15,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,10,36,0.2,dianthus alpinus
Perennial,Dianthus Plumarius,20,5,18,0.3,3,6000,60,"[""Well-drained sandy soil"",""Loam soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,12-24,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,12,12,0.25,dianthus plumarius
Perennial,Dianthus gratianopolitanus,15-25,2-4,15-20,0.2-0.4,3-5,6-8,50-70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean regions"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",40,30,10,12-24,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,6-12,12-18,0.25-0.5,dianthus gratianopolitanus
Perennial,Dianthus sylvestris,20,5,15,0.3,3,3000,60,"[""Sandy loam"",""Clay loam""]","[""Europe"",""North America""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""NPK 14-14-14"",""Organic compost""]",4,24,12,0.2,dianthus sylvestris
Flowering plant,Dianthus spec.,18,5,15,0.3,4,3000,60,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,12,0.5,dianthus spec.
Tree,Azadirachta indica,25-35,5-30,25-30,0.3-0.5,2-5,6-8,50-70,"[""Loamy"",""Sandy""]","[""India"",""Southeast Asia"",""Africa""]","[""Summer"",""Monsoon""]",30-40,40-45,100-150,48-72,"[""Organic compost"",""Neem cake""]",12-16,30-40,36-48,2-4,azadirachta indica
Vegetable,Solanum melongena,25,5,20,0.3,3,30000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Start summer"",""Spring"",""Autumn""]",40,40,100,24,"[""NPK"",""Compost"",""Manure""]",2,36,24,0.5,solanum melogena
Perennial,Anchusa officinalis,18,5,15,0.3,3,3600,70,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Compost""]",4,36,12,0.5,anchusa officinalis
Perennial herb,Agrimonia procera,20,5,15,0.3,3,30000,70,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",50,40,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,1,agrimonia procera
Vegetable,Abelmoschus esculentus,25,5,20,0.3,3,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start summer"",""Monsoon season""]",30,40,50,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2,72,24,2,abelmoschus esculentus
Perennial,Santolina viridis,20,5,18,0.3,3,3600,50,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean region"",""Southwestern United States""]","[""Spring"",""Summer""]",30,35,10,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,24,12,0.2,santolina viridis
Annual,Madia Sativa,20,5,18,0.3,4,3600,60,"[""Sandy loam"",""Loamy sand""]","[""California"",""Oregon"",""Washington""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,48,36,0.5,madia sativa
Herb,Origanum vulgare ssp. viride,20,5,18,0.3,3,300,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Western Europe"",""North America""]","[""Start of summer"",""Late summer"",""Early autumn""]",40,35,20,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.2,origanum vulgare ssp. viride
Herb,Origanum samothrake,18,5,15,0.3,4,6000,60,"[""Loam"",""Clay""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,9,0.25,origanum samothrake
Herb,Origanum onites,20,5,18,0.3,3,3000,60,"[""Well-drained"",""Loamy"",""Sandy""]","[""Mediterranean"",""Southwestern United States"",""Australia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,origanum onites
Perennial herb,Origanum vulgare ssp. vulgare,20,5,15,0.4,4,6000,50,"[""Well-drained soil"",""Sandy loam""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen-based fertilizers"",""Organic compost""]",4,24,12,0.2,origanum vulgare ssp. vulgare
Herb,Lippia Graveolens,25,5,22,0.25,3,3600,60,"[""Loamy"",""Sandy""]","[""Mexico"",""Central America""]","[""Spring"",""Summer""]",30,40,50,48,"[""Compost"",""Organic Fertilizer""]",4,24,12,1,lippia graveolens
Annual,Polygonum orientale,18.5,4.2,15.8,0.35,2.1,24000,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,40,48,"[""NPK"",""Manure""]",4,24,18,0.5,polygonum orientale
Tree,Maclura Pomifera,25,5,18,0.3,3,30000,60,"[""Loam"",""Silt"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,40,50,48,"[""NPK"",""Organic Compost""]",4,480,57600,6,maclura pomifera
Indoor plant,Yucca elephantipes,25,2,22,0.25,4,3600,50,"[""Well-draining"",""Sandy"",""Loamy""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",30,35,50,72,"[""General-purpose fertilizer"",""Cactus or succulent fertilizer""]",8,120,48,2,yucca elephantipes
Herb,Porophyllum ruderale,25,5,20,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mexico"",""Southwestern United States"",""Central America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Fish emulsion"",""Seaweed extract""]",4,24,12,0.5,porophyllum ruderale
